"MonitoringStation","SampleDate","SampleTime","Latitude","Longitude","TN","TP","TSS"
"EE3.0",1988-07-26,"14:15:00",38.28093,-76.01033,1.115,0.082,34.5
"EE3.0",1987-03-23,"14:40:00",38.28093,-76.01033,0.84,0.0333333333333333,15.3333333333333
"EE3.0",1987-02-24,"16:00:00",38.28093,-76.01033,1.005,0.07,38
"EE3.0",1987-01-05,"14:40:00",38.28093,-76.01033,0.826666666666667,NA,17.25
"EE3.0",1986-11-18,"11:10:00",38.28093,-76.01033,0.6275,NA,11.25
"EE3.0",1986-10-08,"10:40:00",38.28093,-76.01033,0.7425,0.0715,40
"EE3.0",1986-09-09,"10:45:00",38.28093,-76.01033,0.8075,0.05725,28.5
"EE3.0",1986-12-16,"14:05:00",38.28093,-76.01033,0.5725,0.033,17.75
"EE3.0",1986-07-15,"10:20:00",38.28093,-76.01033,0.655,NA,39.75
"EE3.0",1986-05-13,"10:50:00",38.28093,-76.01033,0.838,0.0212,12.6
"EE3.0",1986-06-10,"11:00:00",38.28093,-76.01033,0.6925,0.034,24.75
"EE3.0",1986-04-07,"12:15:00",38.28093,-76.01033,0.7575,0.04875,23.75
"EE3.0",1986-03-10,"11:26:00",38.28093,-76.01033,0.965,0.0625,46.5
"EE3.0",1986-01-07,"11:20:00",38.28093,-76.01033,0.8775,0.04675,15.25
"EE3.0",1991-03-27,"11:05:00",38.28093,-76.01033,NA,0.0585,43
"EE3.0",1991-05-09,"09:15:00",38.28093,-76.01033,NA,0.037,27.5
"EE3.0",1988-11-16,"11:25:00",38.28093,-76.01033,NA,NA,18
"EE3.0",1991-07-11,"09:35:00",38.28093,-76.01033,NA,0.0905,42.5
"EE3.0",1990-05-17,"10:23:00",38.28093,-76.01033,NA,0.074,44
"EE3.0",1992-04-16,"10:40:00",38.28093,-76.01033,NA,NA,53
"EE3.0",1993-03-31,"10:45:00",38.28093,-76.01033,NA,NA,30.3333333333333
"EE3.0",1993-09-16,"10:35:00",38.28093,-76.01033,NA,0.0425,NA
"EE3.0",1991-10-21,"10:28:00",38.28093,-76.01033,NA,0.035,32.5
"EE3.0",2000-05-11,"10:13:00",38.28093,-76.01033,0.9995,0.03935,40.75
"EE3.0",2000-03-16,"11:57:00",38.28093,-76.01033,0.77,0.0321333333333333,33.3333333333333
"EE3.0",2000-02-15,"08:50:00",38.28093,-76.01033,0.915,0.03975,46.8
"EE3.0",2000-04-13,"09:28:00",38.28093,-76.01033,0.950666666666667,0.0441333333333333,56.8333333333333
"EE3.0",2000-01-17,"09:00:00",38.28093,-76.01033,1.319,0.0688,115.5
"EE3.0",1999-12-08,"14:51:00",38.28093,-76.01033,0.6465,0.02835,17.2
"EE3.0",2003-06-18,"09:45:00",38.28093,-76.01033,0.972333333333333,0.0435666666666667,29.4
"EE3.0",2003-06-09,"10:33:00",38.28093,-76.01033,0.753,0.0277,54
"EE3.0",2003-05-22,"10:41:00",38.28093,-76.01033,0.686,0.029,16
"EE3.0",2003-05-22,"09:30:00",38.28093,-76.01033,0.935666666666667,0.0341333333333333,24.1666666666667
"EE3.0",2003-04-16,"12:45:00",38.28093,-76.01033,1.11466666666667,0.0351,25.7666666666667
"EE3.0",2002-01-07,"09:20:00",38.28093,-76.01033,0.845,0.0325,32.7666666666667
"EE3.0",2001-11-08,"11:57:00",38.28093,-76.01033,0.6525,0.0194,9.5
"EE3.0",2001-10-30,"10:23:00",38.28093,-76.01033,0.5815,0.02135,10.6
"EE3.0",2001-09-12,"09:29:00",38.28093,-76.01033,0.806,0.03915,15.4
"EE3.0",2001-08-16,"12:40:00",38.28093,-76.01033,0.846,0.0615,39.65
"EE3.0",2001-05-31,"10:35:00",38.28093,-76.01033,0.802,0.02835,23.25
"EE3.0",2001-06-14,"13:40:00",38.28093,-76.01033,0.8755,0.03525,21.05
"EE3.0",2001-07-12,"13:19:00",38.28093,-76.01033,0.833,0.04085,25.05
"EE3.0",2001-03-20,"12:30:00",38.28093,-76.01033,0.7075,0.0252,18
"EE3.0",2001-04-05,"08:40:00",38.28093,-76.01033,0.873,0.0352,43.4
"EE3.0",2001-01-08,"08:47:00",38.28093,-76.01033,0.6135,0.02905,20.2
"EE3.0",2001-02-13,"08:47:00",38.28093,-76.01033,0.936,0.0405333333333333,31.7666666666667
"EE3.0",2000-12-14,"09:13:00",38.28093,-76.01033,0.849666666666667,0.046,48.4666666666667
"EE3.0",2000-11-14,"12:20:00",38.28093,-76.01033,0.507333333333333,0.0240666666666667,6.8
"EE3.0",2000-08-10,"08:51:00",38.28093,-76.01033,1.031,0.0502333333333333,25.0666666666667
"EE3.0",2000-09-14,"10:00:00",38.28093,-76.01033,0.944,0.0489666666666667,25.5333333333333
"EE3.0",2000-10-24,"10:12:00",38.28093,-76.01033,0.689333333333333,0.0296,13.7
